dsfljg 546 5tr64sd hgr6h6f4hfr6fg6 6 6trf trhr6  6ry8 er6   
      Id   Mass(Msol)      x(Lbox)      y(Lbox)
    1009  3.1E+03  4.57871E-02  5.97007E-02
    1182  3.13E+03  4.57819E-02  5.96967E-02
    1370  3.133E+03  4.57764E-02  5.96924E-02
    1371  3.19393E+03  4.28467E-02  6.43311E-02
     214  3.13E+03  1.14367E-01  3.07580E-01
    1183  3.19393E+03  1.14380E-01  3.07504E-01
    1372  3.19393E+03  1.14380E-01  3.07495E-01
    1373  3.19393E+03  1.10E-01  3E-01
     173  3.19393E+03  1.72250E-01  3.85371E-01
     310  3.19393E+03  1.72001E-01  3.85307E-01
